Customer_Text,Sentiment
please provide electricity in channa market area of karol bagh tomorrow is upsc civil services examination and students 1 year hardwork will be tested this area have lots of student preparing for exam,1
abhi tak mera electricity bill nahi aya hai aur naa hee ap logo ki aur se koi jawab aya hai,1
no electricity in house bypl ca 152015813 mob 9999942822,1
updates,1
pta nhi kon si bimari hai bypl ko subha 5 bje se light ka pta nhi hai hai dusre din ka kaam hai abhi 6 ghante hone wale h delhi jaisi city me itna lamba power cut ye bas technical fault ka jhut bolte h my ca no is 101614669,1
no power in area amar colony east gokal pur delhi 94 ca no 101627624,1
no current my area,1
ca no 100050042 no electricity please file a complaint,0
awaiting an update this is open since a week,1
electricity is not coming in the shiv vihar phase10 a block since morning,1
noone listen public complaint regarding wrong electricity bill arun kumar is victim bses yamuna oficial are demanding unlawful money to correct bills ca no152157864 feeling helpless,0
no supply in my house due to jumpher damaged in pole ca 101350118,0
there is power cut ca no 151607051,1
dear sir on your portal when we logged in manage accounts is not working i have some ca numbers attached to my user id but currently i am not able to view them please look in this as soon as possible,0
baarish band hue 4 ghante hogye light kya kl tak aayegi ca no 153214547,1
no electricity have a look bsesdelhi kitni baar breakdown hoga,1
please check and confirm why power failure in shakti garden from last 7 hours no revert on complain all 3 complain closed without any information please confirm,0
hi guys what is the best way to decrease your electricity load from 6kw to 2kw i have normal domestic connections and ca number is 100450210,1
waiting for your great response,1
dear team the issue is not resolve yet the bill hasnt adjusted after meeting lab testing i can still see 35k as arrears the meter malfunctioned and gave wrong readings in april which we reported to get the meter checkedchanged request you to review and get this corrected,0
sir you dont give me solution why are you troubling me it would be better if you could talk to your head,1
sirmadam unable to make quick pay online payment since 2 days after entering ca number on bses yamuna page as the next page is not opening kindly have corrective steps taken so that i am able to do it before pay by date regards unnikrishnan,1
no one has approached to me for my concern,1
c no150829526,1
nc101406738,1
image shared,1
there is a lot of electricity power cut issue from last 3 hours gamri road delhi 53 ca no 152916961,1
dear sir lodged complaint 4 hours before no solution done kindly do needful,1
payments bill stat,1
d2 613 59 e,1
my contact number is 9716166969,1
hi team i have dm you cuz i got incorrect bill kindly check it,1
still again received a bill,1
no electricity in my area for over 3 hours now ca no 151228053,1
dear customer your complaint has been registered with complaint number 23051300393 even after 15 days nobody contacted me the tree is lying on the pole,0
ms babitas date ofbirth 01021986,1
team any luck,1
still no update more than a week already no one visited no one called,1
in the video you can see there is one n sign coming in upper right corner not sure if it means something for malfunctioning,1
no power in sonia vihar area last 3 hrs,1
first look into your whatsapp complaint system it is not working correctly and required some mantenence then lodge a complaint for f block street no 5b west karawal nagar,0
please convey how many days it will take to resolve this issue,1
dgm yvr,1
light has gone could you please check,1
chauhan patti delhi me light nhi a rhi,1
new shabha pur gujran karawal nagar delhi94 1 hours se yaha ki light gayi hui h please update digiye,1
what happened you cut my areas light ca no 101411493 area chauhan patti 110094 bsesdelhi cmodelhi pmoindia sir please look at this area every day they cut the area light maximum 4 to 6 hr please help,1
hey any reply,1
c no150829526,1
ca no153956356 mobile no8178424383 it hasnt even started raining yet that the lights went off earlier in delhieither the mosquitoes would have reduced or it would have been hot hey people of delhi,1
always there is 23 hours power cut in day or night but today a single power cut taken almost 2hours ca no 151607051,0
no supply here,1
ca no 101306148 power cut,1
101500165 mobil 9811612936,1
im from delhi 110094 shiv vihar ambika vihar g no 3 b68 why did you cut off the light,1
hi i know were facing a power cut at our home heard a medium level bang sound on the street and looks like power is out for all the houses can this be looked into ca 100590070,1
no power supply in area since last 1 hour,1
very bad bses team not reply problem,0
pls reply,1
please make a no supply complaint ca no 153032848 contact no 9810500568,0
hi please refer to ca no 100283619 kindly provide details of arrears relates to april 2023 as we have paid all bills on time no bill is pending as per my knowledge,1
its still pending as i requested them to forward my request to division office but didnt get any positive response,1
any update,1
why not installed my meter because every definition in uploaded original with self attested totally paper i send an email to byplcustomercarerelianceadacom request number onkwr2505230451 date 25may2023 name ramesh mobile no 9718694086 division karawal nagar,1
sir abhi tak koyi update nahi mila na hi kisi tarah ka action liya gaya hai,1
but solution they ask for bcc certificate,1
sorry the complaint couldnt be registered as i couldnt find your details in our registry 10,0
,1
since morning there are more than 15 power cut that too in this summer season do u really understand means it,1
dear bypl customer care delhi lg delhi c m delhi for your information required action pls bses yamuna power ltd no light in the area long time facing heavy electricity cute electrical equipment very poor kindly take necessary action on it,1
what happened in the area everyday there is a blackout in the power supply please fix it till what time again power will start ca101339994,0
bsesdelhi 94 ca number 150282910 mobile numer 9013524156,1
received current bill of rs 1400 but excess amount not adjusted paid in previous bills kindly adjust excess amount and send revised bill,1
44,1
abye bhai jab mai pura bill pay krunga to bill to zero hi show hoga 315rs interest ki btao ki kha adjust kra hai,1
,1
,1
new shabha pur gujran karawal nagar delhi94 1 hours se yaha ki light gayi hui h please update digiye,1
yes thank you but address correction is not yet done please do the corrections which was originally raised for as they verify in index file correct address is b 34 but its coming as b b4,1
no current in meter my ca no is100643501,1
a common citizen has to do the work of bses bill pending for three months and connection not disconnected every time a complaint has to be made it also takes a lot of time if the meter comes off today it will pay the bill today,0
when,1
litigation,1
aaj light aaygi ya nhi,1
bsesdelhi,1
again there is power cut problem since last 2 hrs and no update ca 150207903 arvindkejriwal atishiaap this is u called electricity service but u dont have time to look into this except blaming other parties and doing expenses on advertising,0
can you give me a letter,1
u 1 110092,1
thanku for looking into this please update once address is corrected,1
no power supply,1
very irresponsible bses no person visit and no received any call,1
biggest scan by bses yamuna they unnecessarily raise deficiency like edmc booked property which is fake for new connections after inspections and then settle under the table karawal nagar regional office,0
high risk high wire bapa nagar hardhyan singh gali no 2 wire damage,1
advisory billed load in may23 against ca 101309089 is 2 kw in excess of your sanc load 1 kw kindly review your load team bypl can you please elaborate what this message means,1
ca no 151607051 power cut more thn half hours,1
no electricity for last one half hour saddened to experience your neglectful attitude,0
app bses connect bill show light no record found ca 101438647,1
ca no 101306148 power cut,1
sir i need your help bses is not able to provide electricity service in our areaevery time during the rain or after the rain they disconnect the power supply of our area by saying emargency shut downwe have been facing same issue since very long time,0
already enrolled for subsidy but still im getting this much electricity bill im not getting any benefit of 200 free unit subsidy please look at this and apply free subsidy,1
im from delhi 110094 shiv vihar ambika vihar g no 3 b68 why did you cut off the light,1
not receiving paper bill for ca no 100781001 please help,1
153918300,1
what happened you cut my areas light ca no 101411493 area chauhan patti 110094 bsesdelhi cmodelhi pmoindia sir please look at this area every day they cut the area light maximum 4 to 6 hr please help,1
101500165 9811612936,1
no power in area since 4 hours please log an incident on priority ca number 101569311 on daily basis we had outage arvindkejriwal pls do something,1
no power from two hours ca no 101429941 name rupesh sharma area gali no 6 rama garden,1
still we are waiting for response from your office atishiaap your kind attention is invited bsesdelhi waiting for big tragedy they have failed to provide service i request your office to take necassary action,1
153560780 sudden powercut without informing prior do the needful,1
any update as even the reading is done now,1
,1
an unusual abstraction of power and danger to public safety apx 40 metres which are installed on 5 polls and raw wires being taken 200 mtr away wires laying unsafe and hanging from the pole using raw wire please take immediate action before smthing disaster hppn,0
we dont want free electricity we want electricity arre itni garmi me light kyu kaat rahe ho yaar vo bhi ghanto tak light nahi aati isliye bill bharte hai kya hum why are you cutting electricity in this heated summer it is leading to suffocation ca no 152551505,1
its very shameful to say that there is no bses meter installed in 273274 phatak crore chawri bazaar till now the electricity is being used by theftdirect by pole,1
my ca no is 100245533 i have registered a complaint of no current and the lineman called me and told that the repair is going on in my area can you confirm if it is going on and in which area,0
hi bses this is my ca number 154147680 and while applying for subsidy it shows that ca number not registered please help,1
bill date 1jan 1990,1
no electricity supply from 1 hour ca no 100988871 no information on power cut in d block ganesh nagar complex east delhi all other blocks are getting electricity,0
reply still awaited,1
no supply,1
,1
if the application is not working how can people submit their no supply complaint bsesdelhi ca no 151607051,0
please ask you software team to rectify this problem,1
light bhut voltage bhut kam aa raha hai ca no 101442152,1
we are living in vidyut vihar colony adjacent to gurudwara bala sahib ring roadthere is some dark spot in colony which is dangerous for kidscan u provide the light in that placesthese are 23 places,0
kindly describe about this i am unable to understand this letter,1
harassing us by not installing commercial meter that we applied on 17 apr23 last 112 months we have visited them multiple times met different senior officers who accepted the issue and have agreed to sort but no action,0
hi i am facing current issue in my flat from half n hour there is no current in my flat please do the needful asap ca no 101029608 contact no 8285737857,0
from last 3 hours there is no power in our area now this is the early morning time without power how we can do work arvindkejriwal this is how you fulfill your promise of providing 247 power in delhi now these type of cuts is regular in delhi,1
56 101500165,1
ca number 101408187 there is no light in sonia vihar area since 2 hours tell me what is the reason,0
namemadhu goel ca no153167728 m9971734698 please update my phone number please,1
request your patience as were looking into your issue well surely share an update on the same at the earliest,1
issue since 17th feb sirmam please help i am paying extra charges for no reason please reduce my load,1
no power,1
i am sending you screenshot of whatsapp msg replayed by you on 15 of september 22 why you not seeing that please see,1
dear team my no overdue but showing unpaid pls change the same,1
power cut in a block krishna nagar area 110051 ca 150451572,1
hi for ca no 101098935 what is the bill amount for this month,1
some fault at north ghonda delhi110053 no electricity ca number 151652964 please check,1
my ca no 151265421 no light in my area last one hour,0
plzz take action ye msg abhi aaya hai,1
babarpur area mai 3 hours say light nahi hai custmer care mai ph karo tho 15 15 min hold kara detay hai bses ki gundakardi hye hye,1
due to non completion of the payment the amount was supposed to be refunded to me instead but it didnt happen instead got deducted twice please help adding screenshot of the same,0
,1
waiting for similar action in daryaganj,1
sirmam connetion upply 008006169239 16022023 please help me,1
mcd a59 2 bses 11,1
no power from morning bsesdelhi ca no 153884584,1
no update till now,1
i logged a complaint for power fluctuation to bses then your lineman came and said that meter is sparking internally so they connect the power directly and told that meter will replace by our team withinh a week but after 15 days no one replace it then i log the complaint again and then they visit again after replace the meter but now bill came for this month and meter charges included in this why ca no 101380862 take urgent action and remove the charged amount from bill im not going to pay the bill of feb23 month i logged a complaint for power fluctuation to bses then your lineman came and said that meter is sparking internally so they connect the power directly and told that meter will replace by our team within a week at free of cost as meter is not teased by anyone but after 15 days no one replace it then i log the complaint again and then they visit again after replace the meter but now bill came for this month and meter charges included in this why ca no 101380862 take urgent action and remove the charged amount from bill im not going to pay the bill of feb23 month httpstwittercommessagesmedia1630990987731537925 bill screenshot also attached,0
please restore sonia vihar area,1
there is no electricity at daryaganj ca number 100334077 mobile number 91 9999144877,1
many complaints but no solution in bses delhi karol bagh ca no 153761839 fire like bulb 100w red color shows 23 times,1
any update on this,1
there is sparking happened adjacent to meter the ca no is 100951876 kindly resolve as soon as possible registered no 9810713030,1
it has been almost a week with this request please get this completed load reduction order alsrd2002231051 for my ca no 100591238,1
they all know just acting ignorant,1
hi,1
power supply fail ca no 101406816 mob 9311521805,0
did u check on it no further updates,1
there was frequent shortage in our area despite i am having my board exams i am unable to study because my wifi isnt working and phone isnt charge kindly work on it asap sir thank you block d west vinod nagar east delhi 110092,1
again power supply got cut its been 1 n hr there is no electricity in my area may i know the unexpected power cut please help me with this my ca no is 153406374 contact no 9891309127,1
no electricity in my area from last 1 hour ca number152666512,1
no no electricity in our area my ca no is 101424877,1
reliancepowe 4 mo85878780108383829463 bypl customer ashu gupta,1
no electricity in bhajanpura north east delhi area since 2 hours please tell the reason asap,1
were hosting g20summit amidst the national capital delhi is facing powercut till date aint we lacking basic infrastructure arvindkejriwal aamaadmiparty do something about this please,1
what is the procedure to correct the name in address section in bses bill,1
no updates very good and corrupt management i would have give that employee bribe,1
no one called me,1
why does bses need documents to simply reduce load theres no document needed when u increase load neither does tpddl need any documents we make a simple request they do it why do you need me to come to give u documents which i already gave during time of new connection,1
its been 6 hours no electricity one team is waiting for the other team no coordination between the teams and consumer is facing loss pocket f gtb enclave,0
mo8587878010,1
but now electricity has been connected then still we need to visit there,1
chor company h india ki,1
i live in mumbai so should i come delhi for this thing from the first day im saying i dont live in delhi cant you understand this small thing,1
no electricity supply from past 3 hours in maujpur areawhat is the issue,0
,1
530 par complaint kari thi no supply ki par abhi tak koi nahi aaya 130 ghanta ho gaya,0
thanks please revert the action taken on my complaint as i am a 75 year old lady,1
also my meter reading as on 2 march 2023 is 12237 but 24 feb bill reading id 12238 this also shows that meter is faulty,1
nothing resolved you employees has no answer,1
request number is ollnr1502230702 ca number is 150620480,1
not working road side lights i have informed department many times but all of department officers ae je and all of realated this work are doing very shameful duty respected sir maam plz do some urgent action,1
no power supply in my area,1
why there is no light in krishna nagar three and half gali near yadav mills in safderjung exclave i paid my bills,0
,1
no electricity supply is in our area please ensure a proper solution it is becoming our daily problem,1
you replying after submitted the payment of wrnog bil because customer dont have any other option thats why customer need to payment of wrong bill we are not setisfy with the revision of bill officially not check that electricity is used or not only check old bill thanks,0
new connection meter kab tak milega bypl customer ashu gupta mo85878780108383829463apki teem kab new connection meter apruval karegi 4 month se jayda samye ho gaya hai sir gokulpur68,1
another powercut,1
hi team pl confirm,1
still no revert from your side,1
apni marji se jhute misuse garibo ka notice bhej kar rishwat magte h bhikh mangana h to adhikari si baat ke,1
i didnt receive any response regarding power supply interruption from last 1 hour in my area and due to this my official work getting affected ca no 101560154,0
how to temporary disable electricity meter looking forward to your reply asap,1
hi,1
when can i expect some action on this request it was opened more than two weeks ago is this the normal turnaround time for such simple requests,1
today again there is no electricity in rajinder nagar and its been 15hrs already,1
ca no 100050042 no electricity please file a complaint,0
no electricity since 1030 am ca no 100965857 contact no9599783222,1
your department is fixing whats not broken they have disconnected the meter of my flat by mistaking it of someone else whose bill is overdue,1
hello good afternoon may i ask why it has been cancelled while inspection already done,1
fabricated and manipulated reply,1
generic issue of extra amount charged for on online payments and not acknowledged in entirety in receipt is being skirted yes the double payment matter was settled need not bother me with repetitive information,0
please kindly take some action because im tired of doing all these over two year and nobody is helping i am very depressed ill take some wrong step to myself ill commit suicide and mrs pooja m arora mr avdash pd yadav mrs pragya will be faulty of my suicide,0
kis baat ki misuse bolo aap ne dekha,1
no one called me at my contact number,1
any reason why are you cut my area light ca no101411493 area chauhan patti,1
e14 1 11 50000 11 e15 1 e14 e15 11 11 34,1
dear sir today line man didnt restore my meter lline man arjesh had asked bribe in the name of dgm rs sharma aftrr my refusal he taken back my meter without install he went i have all bills cleared ca no 100880035,1
4 110053 c948,1
subject bses team sir i am a common citizen living in jhuripur area want to inform you that our delhis meters are applied here illegally and some corrupt people of buses are involved in thisbecause of this i have to inform you that many water meters are installed near my houseand because of that some corrupt people from here apply for meter of delhi in which i wonthe proof is there is a house in my street whose owner name is anil bimla at their place per already subthe meter is installed and they have applied for the meter of delhi due to which they have got the meter of north i want you to take the strictest action against these peoplesome people get thre meter installed after taking bribe i want you guys to take this matter take strict action against the person your gratitude will be on us i have told you the name of the owner i will send you with the address plate number hau johripur extension 30ft road street no01 there is a house the pillar with which they are going to have a connection the number of that pillar is bseskwns958 i will attach some videos and some photographs as proof and send them to you,0
this is not a technical reason,1
four day passed no update from bses,1
no solution yet,1
this is how bses play with people life with wires hanging so low that people have to walk with their head down and waiting for a disastrous fire to happen one more bhagirath place,0
can you arrange the call with team,1
garibo ko jhute case karke misuse ke naam khon chuste h delhi ki janta ka rishwat khor deparment h hindu ka jyaada misuse karte h,1
one of biggest corrupt organisation of their offline office their was only name change i request but their gt road branch want 2000rs for the sake of name change simple name change but they cant soo shame on bsesdelhi for their corruption,0
no8006172312,1
still no revert from your side,1
how can i consume electricity without any connection not even single bulb is there i want quick inspection,1
sirmam connupply 008006169239 16022023 up to 60 mtr pole number wn 60 pn 3446 hai my address village sabhapur near animal dispensary delhi 110090 9911454711,1
waiting for an update,1
image,1
is this fraud from 919430381565 dear consumer your electricity power will be disconnectedtonight at 1030 pm electricity office because your previous month bill was not updateplease immediately contact with our electricity officer 8250536298 thank you,0
complaintdd no1085 registered in bses gokapuri in the month of november but not even a single solution given yet,0
please dont make daily habit to stop supply in our area aapdelhi please look into the matter and see my previous tweets,0
there is power cut ca no 151607051 more thn one hour,1
image,1
,1
hi thanks for your response i would loke to inform you that the papers i have submitted for meter transferring has already mentioned ground floor in it still it didnt appear in the correction please look in to this matter thanks,1
,1
i tried to apply for subsidy but they were saying that ca number not registered but its registered check ca no 153698943 apply subsidy,1
kindly go through the corruption in installing new meters in shanker road branch firstly they reject the application and then consumer has to approch the middle man,1
bill pay hone pe bhi light kaat ke chale gaye bsesdelhi mazaak hai kya came in evening from job sitting in darkness customer care says 9am5pm baat hogi,1
7999832746,1
no power supply last one hour karawal nagar division ambika vihar area ca number 150680470,1
check,1
no electricity ca no 150615965 mob no 9210773335,1
kindly call me asap,1
where is resolution of my issue,1
16 3000 rs 1875,1
no light in my area last 2 hour and more time,1
still waiting for an update,1
last week also we face electricity issue and today again facing the same can you share me the reason ca 153426069 its almost one hour gone,1
why this rejected order no oolnr2702230382,1
no electricity since last many hours my c number is 101493185 please do something about it thanks expectedly ill be thankful,1
hi our light has not been coming since 12 pm could you please resolve it on priority,1
mayur vihar phase 1 exit gate of pocket 2 towards 36 block gurudwara trilokpuri this light is not working it gets dark at evening we request you to 1repair this light 2install another light as 2 lights are low watt not enough for road,1
hello bses i have applied for the new connection for my home they rejected the application and the reason is pending amount of ca number 101351397please refer to attached snap please suggest or advise me hows other dues would be the reason for my rejection if they are not paying bill you have an authority to cut the electricity i want the solution as soon as possible,1
in our locality there has been no electricity supply,1
no electricity since the last 56 hours east delhi krishna nagar old anarkali area,1
bses please restore power supply ca no is 152793248 please update about situation,1
respected all my ca number is 101418057 i have not receive subsidylast few months,0
4,1
good morning,1
shame on bsesdelhi till the time i havent recieved any reply,1
electricity faliure from couple of hours area balbir nagar extension near rishi raj chowk shahdara delhi 110032,1
another powercut you people should really reflect on your performance,1
almost every 2nd day theres some power cut or outage happening what seems to be the issue of such frequent power outagecuts sometimes it is planned which is also very frequent sometimes it is unplanned like today which is almost 1 hour now complt 23030600484,1
help reconnecting today itself,1
no electricity since last many hours my c number is 101493185 please do something asap thanks expectedly why light is not yet came,1
dt,1
the service in chauhan patti area located at karawal nagar districtthe service will very bad because if once light will cut it will be come after 810hours this will be very worst service given by bses yamuna power delhi,0
i applied for a new connection on my floor some employee of bses yamuna came and took pictures of everything said all is ok meter person will come to install it now rejected my application nobodys is responding now,1
connection has been cut although there is no due amount,1
still not checked,1
hi my ca no is 153977636 i am getting huge electricity bill but i dont have any heavy usage appliances what i can do i raised multiple complaints but no resolution,1
dear electricity department why the light has gone off in my area please give information about it and make sure in how long the light will come on ca no 101411493 areachauhan patti 110094,1
no electricity since 4pm pls check bp 101158567,1
sirmam connetion upply 008006169239 16022023 please help me village sabhapur mera animal dispensary delhi 110090 mob number 9911454711,1
using electricity without paying bill and local collection and field staff involved in this illegal activity bsesdelhi please see,0
are you going to revise load based on last years average ca 152260074 sunita mob 9810058680,0
as i am complaining from last few months that how my bill is generated so much but till date no solution has been found whether i am getting my subsidy or not,1
aap ko itne deen hogaye magar aap logo ne koi action nahi liya enforcement1 team le khilaf kahi aap log bhi samil nahi h,1
,1
sir i have messaged you privately my contact number,1
intentional powercut on festival day holi in north east delhi 110053 yamuna vihar bhajanpura,1
there is no supply from last 1 hour plz help ca number151831655,1
image shared,1
kindly help us to remove the unusual bunches of internet cables from electricity pole 456 462 before happening any blunder in area refer following details for your convenience 111273 subhash park naveen shahdara street no11 near kirti mandir delhi110032,1
how can safety be ensured without removing hanging wire across daryaganj and your team call for written complain when there is own company order attached check and act 3 times on ground inspection done,1
got this message yesterday waiting for any contact number of the guy who is deputed for this job premises are open,1
dear sir my meter cayagery has been changed miss use has booked and we cleard all the pending ides then apply fot restore kondly help ud,1
there is power cut in my area ie f block gali no6 opposite mavi hospital dayalpur delhi for about 4 hrs can you please look into it or give me a no through which we can contact,1
there is power cut off in dayalpur delhi110094 since 945 in morning what is the current status,1
pending bill showing for the same month so i will pay in coming days but you reject only for that reason simple name change now why are you changing right now,1
no power since last half an hour in prem vihar karawal nagar delhi94 ca no 101360426,0
bses yamuna power app still long time show at the time http404no open take immidatly action on it all activities still ca no101265157 ca no 150939999 regards rampal,1
street lights on road namely bhola nath naagr marg between shahdara metro parking and parshvanath mall are not working,1
i had booked my appointment on your chd portal for address correction but they refused to change my address and said that this service has been discontinued by bses yamuna power limited in 2019 itself can i have the order copy division patel nagar,0
ye complain kia tha bill pay kia last month 32 din pe reading lia aur 500 ka bill bheje the wo v bhar dia hai sal me 23 bar bill aata hai jab sabse kam use hota haibahut acha kam kar rhe ho bhai gareeb ka haye lagega,1
no current my area,1
101500165,1
can someone from bses call me to discuss i can provide id but i have no idea about wiring test report where do i get it from,1
sparking in street light at radhey puri gali no 2 krishna nagar delhi 110051,1
no electricity in karawal nagar area since one hour what is the reason for frequent power cuts today please look into the matter ca 151229658,1
meter reding pending for feb month ur,1
sir could you plz help to provide the status of my order id 8006192627 as there is web service error showing while tracking the status on bses website,1
jis deen garibo ko jhut case karna band kardeneg holi colour full ho jayega rishwat colour ka rang lute leta h,1
mantence reliancegroup anilambani please see asap this location is gali beriwali sitaram bazar delhi 110006,1
dear bypl customer care delhi heavy cute in the area look into this regards ca no101265157 ca no 15093999 regards sharda,1
power supply interrupted ca no 101560154,1
ca 153968192 1,1
power cut at east jyoti nagar loni road shahdara delhi,1
bses please restore power supply ca no is 152793248 please update about situation,1
their is no power in ram nagar shahdara kindly resolve the issue as soon as possible ca number 153086378,1
waiting for reply,1
how much time is to took for name change,1
rsir i manish sharma ro d167 3rd floor gali no5 dblock bhajanpura delhi110053 i applied three new connection and my new connection request no8006193660 80061961058006193332 my two meter installed my premises dated on 0722023 and one meter not installed due to temporary electricity connection installed my httppremisesmy request no8006193332 my temporary connection ca no351246811 and meter no35766660 now i have got my temporary connection removed dated on 07022023i have paid rs 1250 my electricity bill but my new connection not installed against rq httpno8006193332so please arrange my new connection with regards manish sharma ph no99560960437,1
very poor service still not any update allready no due slip submitted in patel nagar 18 block 101 counter,0
no power in area ca no151566330,1
written complain also filed to remove hanging wire across daryaganj and declutter poles multiple on ground inspection done by bses team yet no relevant action taken,0
hi,1
sir any update on this,1
despite sending many twits no action being taken yet,1
request number onkwr2102230483 request date 21feb2023 name neeraj mobile no 8447674751 division karawal nagar 21,1
still no update,1
any update sir,1
dear bsesdelhi please let me know if you want to take any such message to your customers,1
no electricity in west patel nagar n block area since last 1 half hour kindly fix it or let us know when it will be fixed,1
sir main gali no 13 se hoon sir hmari gli main ek hi khmbe main light nhi aa rhi hai baki khambon main aa rhi hai,1
hi i sold a ground floor of my property the new owner of the ground floor has applied for a commercial meter but the inspectors has asked to take photos of the roof the ground floor was sold without roof terrace rights so why would your employees as to take photos off the roof,1
dear bypl customer care delhi heavy cute in the area look into this regards daily basis equipment very poor ca no101265157 ca no 15093999 regards sharda,0
sabse barasht depertment h garibo ko jhute case aur amiro se rishwat lete h,1
register complaint,0
request number onkwr2102230483 request date 21feb2023 name neeraj mobile no 8447674751 division karawal nagar 21,1
,1
no power suply in area,1
how much time for name change u need money then you will change the names shame on you,1
sir aapki teem kab tak or kitne mahine m apruval karegi 4mahine se jayda samye ho gya hai bypl customer delhi sarkar help mujhe 4 mahine se jyada ho gye h new apply ashu gupta mo85878780108383829463,1
ev charging station is nt gettin passd inspite of fulfilling all the formalities i also went to mr anil shukla cmd in bses in lxmi ngr division but he kept me waiting fr several hours bt didint gave me a satisfactory replyonmvr0103230179 onvse2802230438,1
any update i have been waiting for 3 weeks now this is how bypl manages customer issues,1
we dont have electricity from last few hours im working from home because of festive season its quite difficult to stay without electricity home invertor is also going to end up need to charge laptop mobile wifi ca no 101456608 plz fix it soon,0
today we are facing electricity issue third time expecting resolution please arvindkejriwal raghavchadha ca no 101491293,1
team what is this nonsense why i am getting bills for electricity charges for my house in which no consumption is going on as its locked for 6 months now,1
hello there has been a powercut since 1145 when will power be supplied back location a block new ashok nagar,1
hi our light has not been coming since 11 am could you please resolve it on priority,1
poor management of mayur vihar pocket 1 official staff,0
sir abhi tak kisine contact nhi kiya pole ke liye bahut din hogye ab toh kab tak hoga theek yeh pole,1
sir no feedback has been received so far i am 75 year old widow lady,1
dear sir our connection is hold unnessesary cercling every day since one month request no 8006163487 no body responding to division office please find attachment and help us to release the connections facing harassment a lot,1
i need solution for same other than anything,0
,1
sir 6 1 4,1
why should i reapply while investigating had already done hello i am going to tweet to higher managementand government this is totally harrasment,1
where is the link pls provide link to upload documents,1
,1
bcc bses,1
hi there is a complete blackout in my area could you please check and get it resolved area patparganj society saraswati kunj,1
west vinod nagar area me pichle one hour selight nhi hai ca no 151190244,1
powercut in krishna nagar from last one hour,1
ca 152826697 60,1
some fault at north ghonda delhi110053 no electricity ca number 151652964 please check,1
i need to reduce my sanction load pls appointment some official to talk to me and get this done mukesh 9910906041,1
there is no supply from last 1 hour plz help ca number151831655,1
hi my ca no is 100554496 i raised a name change request on 2nd march 2023 i want to know the status of the request order no is oopnr0203230628,1
unscheduled power cuts are happening almost every other day that is in addition to scheduled outages that generally happens 12 times every week i dread to think what is gonna happen when we shall hit the summer peak moreover unable to log complaint on ur app ca 100629357,0
thank you for sharing this however as i have checked my reent bill it is still showing non domestic category,1
image shared,1
i m seema malhotra from delhi dilshad garden mere flat ki light kal without informing disconnect kar di gayi mere husband ne complaint ki to they said galati se ho gayi i mean galati thats it 24 hours se zyada ho chuke hain no one is there to give connection,0
